0,x,East Gwillimbury,Toronto,Mississauga,Pickering,Kingston,Clarington,Whitby,Brock,Markham,Uxbridge,Oakville,Richmond Hill,Ajax,Brampton,Burlington,Halton Hills,Aurora,Milton,Oshawa,Georgina,Vaughan,Newmarket,Caledon
1,East Gwillimbury,0,56407,78732,63226,286845,108135,73626,49218,33353,31833,90274,29442,70267,75004,118026,103042,15086,90923,84355,24980,36603,6239,54555
2,Toronto,56407,0,27528,39452,262408,82553,54960,103407,28846,76852,37684,36236,46484,44082,57192,67774,49218,55655,59918,78847,40689,54725,59740
3,Mississauga,78732,27528,0,60833,283789,103934,76342,128038,53066,100004,21683,48497,67865,21110,40437,45517,72618,29288,81299,102247,41995,70432,36769
4,Pickering,63226,39452,60833,0,224856,45001,17409,66044,32899,33820,75244,42619,8932,67676,94752,91358,55600,79239,22366,85229,47071,61108,83334
5,Kingston,286845,262408,283789,224856,0,184848,215363,263931,254790,247388,298240,265615,218835,290672,317749,314355,278597,302236,209132,308226,271616,284104,306330
6,Clarington,108135,82553,103934,45001,184848,0,34847,83415,74275,66872,117725,85099,38320,110156,137233,133839,98081,121720,28616,127710,91100,103588,125814
7,Whitby,73626,54960,76342,17409,215363,34847,0,53145,41891,32535,92239,53909,12834,87532,111747,108353,66891,96234,7885,96520,58716,72399,103190
8,Brock,49218,103407,128038,66044,263931,83415,53145,0,78747,31712,139658,76818,62965,124388,167410,152426,62463,140307,56520,31542,83980,55606,103833
9,Markham,33353,28846,53066,32899,254790,74275,41891,78747,0,51719,64778,13136,46042,49508,92529,77546,26118,65427,52731,55747,20692,31625,65166
10,Uxbridge,31833,76852,100004,33820,247388,66872,32535,31712,51719,0,111623,43509,36522,96353,139375,124391,32475,112272,43212,47002,67538,30457,112011
11,Oakville,90274,37684,21683,75244,298240,117725,92239,139658,64778,111623,0,61040,82977,40807,21454,37768,85161,24712,96411,114790,54786,83223,56465
12,Richmond Hill,29442,36236,48497,42619,265615,85099,53909,76818,13136,43509,61040,0,50103,44935,87957,72973,16407,60854,64191,52942,7216,28820,60593
13,Ajax,70267,46484,67865,8932,218835,38320,12834,62965,46042,36522,82977,50103,0,75307,102384,98990,63232,86871,16084,92861,54703,68739,90965
14,Brampton,75004,44082,21110,67676,290672,110156,87532,124388,49508,96353,40807,44935,75307,0,60984,33792,71276,33881,89032,100905,40654,69090,17281
15,Burlington,118026,57192,40437,94752,317749,137233,111747,167410,92529,139375,21454,87957,102384,60984,0,62270,110991,28083,117755,140620,80369,108806,73303
16,Halton Hills,103042,67774,45517,91358,314355,133839,108353,152426,77546,124391,37768,72973,98990,33792,62270,0,98062,19884,112663,127691,67440,95876,27402
17,Aurora,15086,49218,72618,55600,278597,98081,66891,62463,26118,32475,85161,16407,63232,71276,110991,98062,0,83678,77110,38493,22154,7110,49700
18,Milton,90923,55655,29288,79239,302236,121720,96234,140307,65427,112272,24712,60854,86871,33881,28083,19884,83678,0,98309,113337,53086,81523,47685
19,Oshawa,84355,59918,81299,22366,209132,28616,7885,56520,52731,43212,96411,64191,16084,89032,117755,112663,77110,98309,0,106006,69396,81885,104110
20,Georgina,24980,78847,102247,85229,308226,127710,96520,31542,55747,47002,114790,52942,92861,100905,140620,127691,38493,113337,106006,0,59337,30964,79191
21,Vaughan,36603,40689,41995,47071,271616,91100,58716,83980,20692,67538,54786,7216,54703,40654,80369,67440,22154,53086,69396,59337,0,34963,54539
22,Newmarket,6239,54725,70432,61108,284104,103588,72399,55606,31625,30457,83223,28820,68739,69090,108806,95876,7110,81523,81885,30964,34963,0,48129
23,Caledon,54555,59740,36769,83334,306330,125814,103190,103833,65166,112011,56465,60593,90965,17281,73303,27402,49700,47685,104110,79191,54539,48129,0
