0,x,lat,lng
1,East Gwillimbury,44.1010645,-79.4417811
2,Toronto,43.653226,-79.3831843
3,Mississauga,43.5890452,-79.6441198
4,Pickering,43.83841169999999,-79.0867579
5,Kingston,44.2311717,-76.4859544
6,Clarington,43.9345347,-78.6000336
7,Whitby,43.8975446,-78.94293290000002
8,Brock,44.33756899999999,-79.09541
9,Markham,43.8561002,-79.3370188
10,Uxbridge,44.10940280000001,-79.12049979999999
11,Oakville,43.467517,-79.6876659
12,Richmond Hill,43.8828401,-79.4402808
13,Ajax,43.8508553,-79.0203732
14,Brampton,43.7315479,-79.7624177
15,Burlington,43.3255196,-79.7990319
16,Halton Hills,43.646987,-80.017663
17,Aurora,44.00648,-79.450396
18,Milton,43.5182991,-79.8774042
19,Oshawa,43.8970929,-78.86579119999999
20,Georgina,44.296296,-79.43623199999999
21,Vaughan,43.8563158,-79.5085383
22,Newmarket,44.05918700000001,-79.46125599999999
23,Caledon,43.8363372,-79.87448359999999
